x1,x2,grupo
-1.131816,-0.137334,0
-1.124126,-0.177695,0
-0.941624,-0.057791,0
-1.193199,-0.060288,0
-0.880439,0.129771,0
-0.718905,-0.16578,0
-1.182642,0.160721,0
-1.172129,0.270211,0
-0.977461,-0.055819,0
-1.030911,-0.000149,0
-0.947108,0.100817,0
-0.918648,0.215052,0
-0.804406,0.171416,0
-1.025694,0.004917,0
-1.040392,-0.007573,0
-0.806519,0.118155,0
-0.863606,-0.053557,0
-1.038587,0.032995,0
-0.994916,-0.061675,0
-1.058593,-0.247129,0
-0.810592,-0.077752,0
-1.127714,-0.059121,0
-1.049495,0.158898,0
-0.728889,0.080931,0
-1.090687,-0.247299,0
-0.89618,-0.043076,0
-0.943801,0.370377,0
-1.169482,-0.047692,0
-0.752273,-0.110911,0
-0.936031,-0.109474,0
-0.919222,-0.216093,0
-0.862863,-0.028255,0
-1.102267,-0.31637,0
-1.257216,0.118306,0
-1.089714,0.103688,0
-1.196618,0.085356,0
-1.235439,0.010302,0
-0.789622,0.123114,0
-1.016582,-0.055741,0
-1.049403,0.029765,0
-0.979911,-0.004749,0
-0.961829,0.139261,0
-0.993496,-0.072382,0
-1.104384,-0.068047,0
-0.900576,-0.168465,0
-1.132014,-0.313855,0
-0.999074,-0.116234,0
-0.93963,0.109772,0
-1.095916,0.033684,0
-0.827965,0.103449,0
-0.852973,-0.085168,0
-0.806812,0.086199,0
-0.820774,0.0908,0
-0.900641,0.136457,0
-1.196574,0.011,0
-0.9611,0.300158,0
-0.987339,0.084168,0
-0.987436,0.085892,0
-1.214571,-0.109883,0
-1.506587,0.03507,0
-0.816486,0.068243,0
-0.823957,0.047786,0
-1.014115,-0.096987,0
-0.709715,0.167831,0
-0.916377,0.019534,0
-0.92057,-0.040647,0
-1.230797,-0.099349,0
-1.034415,0.019831,0
-1.13454,-0.210925,0
-1.054954,-0.213524,0
-1.165515,0.282487,0
-1.227387,0.115999,0
-1.10187,0.207317,0
-1.008526,0.062863,0
-1.216492,-0.315894,0
-0.787869,-0.117394,0
-0.938122,0.047482,0
-1.01273,0.004741,0
-0.586342,-0.199985,0
-1.052394,0.112806,0
1.116588,-0.182764,1
0.8989,0.141059,1
0.863558,0.309758,1
0.912136,0.246666,1
0.923824,-0.10021,1
1.006685,0.221783,1
1.137946,-0.125802,1
0.851975,0.086908,1
0.87844,-0.204531,1
1.215689,-0.150734,1
0.977711,-0.106213,1
1.151679,0.070343,1
1.02978,0.228879,1
0.839427,-0.189145,1
1.05711,-0.13197,1
0.834708,0.064734,1
0.898921,-0.058882,1
0.82677,0.151625,1
0.900183,0.234864,1
0.821721,0.103855,1
1.010145,0.083486,1
1.000816,-0.194782,1
1.061336,-0.042616,1
1.112405,-0.149997,1
0.646268,0.073704,1
1.193449,-0.025948,1
1.241651,0.330606,1
0.908559,-0.006661,1
0.824843,0.115744,1
1.171665,0.279106,1
1.115533,-0.090152,1
1.181107,-0.190004,1
1.202419,0.240762,1
1.005209,-0.025196,1
1.121842,0.17352,1
1.1541,-0.230409,1
0.845969,-0.105849,1
1.071656,0.146331,1
0.966758,-0.123466,1
1.098688,0.121424,1
0.990285,-0.075258,1
0.979672,-0.272908,1
0.881486,-0.192545,1
0.891661,-0.247067,1
1.160404,0.03647,1
1.059226,-0.09512,1
0.65324,-0.036285,1
0.924826,-0.088467,1
0.942754,-0.085872,1
1.454038,-0.147095,1
0.932666,0.168472,1
1.135033,0.066201,1
1.072889,-0.037598,1
1.020496,-0.115349,1
1.095924,0.008628,1
0.997058,0.010109,1
1.161123,0.077795,1
1.135172,-0.177509,1
0.795803,0.24553,1
0.83914,0.065463,1
1.131101,-0.219922,1
1.008713,-0.048205,1
0.86414,0.152759,1
0.702393,-0.133728,1
0.751923,-0.085509,1
1.091616,-0.224756,1
1.011182,0.095112,1
1.097121,-0.066301,1
0.918089,0.308889,1
0.762312,-0.155476,1
0.948074,-0.074701,1
1.290847,-0.30323,1
1.055652,-0.074529,1
1.09491,0.164388,1
0.938566,-0.107836,1
1.233559,-0.060718,1
1.146632,-0.001539,1
0.889531,0.05593,1
0.930906,-0.140252,1
1.12773,-0.015813,1
